,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,1.946000,1.946000,1.946000,1374.829000,0.000000,171.858000,1374.829000,91.949000,173.805000,10574.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,1.946000,1.946000,1.946000,688.173000,0.000000,85.970000,688.173000,447.941000,87.917000,5783.059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,1.946000,1.946000,1.946000,367.149000,0.000000,90.706000,367.149000,293.567000,92.653000,3383.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,1.946000,1.946000,1.946000,111.021000,0.000000,54.610000,111.021000,69.723000,56.557000,1206.577000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1.946000,1.946000,1.946000,74.349000,0.000000,36.178000,74.349000,93.942000,38.125000,889.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-200-16 64-6 1-25 100-1,1.946000,1.946000,1.946000,1222.189000,0.000000,152.658000,1222.189000,829.552000,154.605000,10021.948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-200-16 8 8-4 4 1-25 25 100-1,1.946000,1.946000,1.946000,1832.493000,0.000000,229.074000,1832.493000,121.965000,231.021000,14073.262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-200-16 8 8-8 4 1-25 25 50-1,1.946000,1.946000,1.946000,916.973000,0.000000,114.642000,916.973000,568.183000,116.589000,7658.338000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-200-8 16 8-7 4 1-25 25 50-1,1.946000,1.946000,1.946000,489.197000,0.000000,121.170000,489.197000,581.875000,123.117000,4677.137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,1.946000,1.946000,1.946000,147.501000,0.000000,72.658000,147.501000,130.738000,74.605000,1598.577000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
