,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,21.888734,15.591297,16.912922,28.538344,0.000000,0.314031,21756.228594,26.714141,0.166547,0.057143,0.015151,0.004490,0.004490,0.015151,0.057143,0.166547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,4.920344,0.278219,0.226516,0.169313,0.000000,0.149891,16173.047297,12.311266,0.158224,0.067500,0.011828,0.002583,0.002583,0.011828,0.067500,0.158224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_2_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,75.495594,0.440906,59926.491062,106.977500,0.153094,0.008281,0.008281,0.153094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,64.176422,0.497578,0.407047,0.000000,44616.722844,49.762672,0.262583,0.028158,0.003798,0.003798,0.028158,0.262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,63.665297,4.799672,5.471047,0.000000,41036.367453,85.252953,0.225151,0.024332,0.004755,0.004755,0.024332,0.225151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,70.657359,4.513937,4.615078,0.000000,42392.303813,78.719625,0.378839,0.029672,0.004245,0.004245,0.029672,0.378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,41.238469,14.260344,13.512438,15.047047,0.000000,0.381031,21755.745172,28.622031,0.166547,0.057143,0.015151,0.004490,0.004490,0.015151,0.057143,0.166547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,16.726406,0.330172,0.192031,0.170234,0.001219,0.186078,16165.928047,10.696359,0.158224,0.067500,0.011828,0.002583,0.002583,0.011828,0.067500,0.158224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_2_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,283.585266,0.959906,59737.393719,289.061922,0.343094,0.017323,0.017323,0.343094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,236.734297,1.060094,0.941672,0.000000,44463.873562,119.456937,0.588948,0.062138,0.007596,0.007596,0.062138,0.588948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,213.882641,0.952359,0.708531,0.000000,40915.364172,146.027109,0.504896,0.053500,0.009483,0.009483,0.053500,0.504896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
