,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,5937.311703,13.198109,10.628063,0.000000,39323.477219,2640.477937,8.355979,0.861622,0.084863,0.084863,0.861622,8.355979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,5076.770656,12.448984,13.007828,0.000000,36498.218891,2640.138672,7.158958,0.739164,0.113038,0.113038,0.739164,7.158958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,5488.609969,11.697484,11.693906,0.006781,37685.730953,2722.445766,12.110193,0.929562,0.109010,0.109010,0.929562,12.110193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,3117.740297,14.156828,6.792547,6.276719,0.006781,7.527391,19539.498484,598.657875,5.293750,1.795456,0.451966,0.105708,0.105708,0.451966,1.795456,5.293750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2283.897109,6.467656,5.626875,4.019781,0.000000,5.036375,14487.654750,289.845797,5.051073,2.139922,0.365391,0.060312,0.060312,0.365391,2.139922,5.051073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_1_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,1386.659562,3.400906,58756.874094,1039.261250,1.215875,0.057198,0.057198,1.215875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,1165.748391,3.526594,2.905234,0.000000,43666.427016,385.664016,2.090052,0.216583,0.022139,0.022139,0.216583,2.090052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,998.020078,6.015766,4.064031,0.000000,40242.926547,413.174312,1.790823,0.185967,0.029126,0.029126,0.185967,1.790823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1080.843766,3.103016,5.739953,0.000656,41564.565266,416.053688,3.027875,0.232833,0.027906,0.027906,0.232833,3.027875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,629.633078,2.385891,5.320109,1.324016,0.000000,1.655656,21403.518609,91.797953,1.324016,0.449701,0.113865,0.027250,0.027250,0.113865,0.449701,1.324016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,440.100937,2.247453,1.446594,1.036250,0.000000,1.653281,15885.309656,44.090359,1.263083,0.535370,0.091906,0.015479,0.015479,0.091906,0.535370,1.263083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_1_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,8645.915375,14.018781,51936.801172,11920.827703,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,7296.028828,14.743656,14.677266,0.000000,38090.297891,4650.371859,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,6231.561500,17.897750,19.568766,0.000000,35433.909641,4585.233766,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,6734.239625,16.627703,17.158391,0.000000,36584.713016,4831.282547,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,3826.910156,12.351406,8.628234,7.201047,0.006781,8.059313,19025.540000,1023.041484,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2805.282813,10.320937,6.765922,5.119000,0.000000,6.043234,14099.624750,608.677125,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_1_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,2520.991125,6.532219,57690.042781,6005.445937,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,2166.277844,7.229484,6.140984,0.000000,42762.116375,2441.043672,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,1868.578641,6.079359,9.025438,0.000000,39450.270062,2386.985031,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,2020.279922,5.366016,6.704562,0.000000,40744.513141,2545.280875,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1126.486672,11.899703,10.837031,2.538859,0.011813,3.498250,21028.947313,605.828219,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,818.236828,10.856109,2.442219,2.017344,0.002094,2.765359,15595.727375,385.029047,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_2_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,2949.841391,6.386484,57291.947687,5602.137313,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,2496.757719,7.141125,6.291484,0.000000,42465.341750,2248.513906,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,2117.050625,10.418313,10.670594,0.000000,39218.867984,2216.725547,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,2325.528078,7.778797,9.600484,0.000000,40479.146906,2335.303344,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1332.260141,4.576187,3.577719,2.929266,0.000000,3.976797,20887.290641,530.610875,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,956.845828,10.940312,2.924516,3.521281,0.000000,3.074531,15492.463719,299.607062,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_2_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,9530.351062,14.754547,51113.088453,11023.799437,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,8040.946109,17.118891,14.523547,0.000000,37419.063266,4219.216562,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,6869.836094,14.964469,20.853547,0.000000,34858.208500,4184.866984,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,7422.222422,18.461094,19.203234,0.000000,35983.557938,4360.361672,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,4218.594094,15.223016,7.072266,8.449094,0.000000,9.251016,18776.067687,904.126016,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,3096.801922,11.484953,5.982109,5.162859,0.000000,7.050766,13888.334578,505.281453,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_2_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,3344.701484,6.442859,56925.976313,5202.996406,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,2829.756625,7.392703,5.783406,0.000000,42168.094609,2056.461266,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,2432.866562,8.222531,8.374453,0.000000,38939.327484,2033.047687,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,2591.930844,8.494953,11.957078,0.000000,40243.755500,2149.250578,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1461.606328,6.273313,18.988797,3.971516,0.000000,4.016344,20801.476031,455.151922,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1084.478297,12.191922,2.866266,3.406203,0.000000,3.589266,15398.776062,192.327359,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_3_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,3737.356578,6.614797,56559.919188,4803.527313,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,3160.484719,6.259125,5.768141,0.000000,41871.679453,1864.534797,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,2716.030922,7.869359,7.853766,0.000000,38683.510109,1846.714516,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,2934.348203,8.303125,9.755984,0.000000,39950.172688,1931.227547,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1678.319531,5.477266,3.933594,4.873453,0.000000,3.726562,20648.961437,371.531547,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1167.823906,12.047672,3.441609,3.314547,0.000000,4.337953,15337.697375,151.053953,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_3_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,10414.830672,14.111297,50290.710828,10126.771172,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,8786.118500,16.330297,14.386484,0.000000,36751.391375,3787.390594,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,7507.929828,17.451984,20.757297,0.000000,34278.897766,3785.257391,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,8110.793937,19.292969,21.337547,0.000000,35382.483156,3900.013016,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,4608.424516,12.996766,9.256312,8.511891,0.000000,9.576750,18484.913453,774.879125,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,3388.276406,10.044438,6.896562,8.745844,0.000000,7.014203,13671.205422,345.098906,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_3_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,4065.896734,7.032016,56253.115937,4440.716500,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,3493.285203,7.608234,5.183375,0.000000,41573.382859,1672.709188,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,2953.570844,11.018953,10.145656,0.000000,38464.460203,1682.332328,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,3191.334031,8.398922,11.509891,0.000000,39723.804937,1746.041047,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1825.469609,7.468641,11.763531,4.640047,0.000000,4.341266,20536.324516,326.424078,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1332.142016,11.750297,3.378297,3.394188,0.000000,3.168813,15218.028031,148.378781,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_4_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,4518.864516,6.466422,55833.678375,4011.481063,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,3823.904016,7.818875,7.064875,0.000000,41273.986047,1480.632672,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,3280.251203,7.895750,9.684047,0.000000,38172.312328,1494.069766,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,3542.943469,7.858875,9.996422,0.000000,39422.665016,1504.168609,6.055490,0.465161,0.054922,0.054922,0.465161,6.055490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1995.104297,6.597672,11.975344,3.514500,0.000000,3.938813,20413.005375,285.218109,2.647266,0.898286,0.226594,0.053437,0.053437,0.226594,0.898286,2.647266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1480.140719,5.308047,3.331187,3.091406,0.000000,3.345594,15114.183375,118.593828,2.526063,1.070370,0.183125,0.030375,0.030375,0.183125,1.070370,2.526063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_4_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,11299.277016,14.767234,49467.133812,9229.005437,5.466719,0.253010,0.253010,5.466719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,9531.347844,18.970906,14.025594,0.000000,36080.683453,3354.868797,9.400620,0.969163,0.095586,0.095586,0.969163,9.400620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,8146.447313,17.310453,21.254297,0.000000,33701.022797,3383.006891,8.053802,0.831445,0.127263,0.127263,0.831445,8.053802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,8799.047031,18.425656,19.236547,0.000000,34787.260125,3445.699187,13.624234,1.045641,0.122755,0.122755,1.045641,13.624234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,5000.119453,17.396062,9.319750,10.483703,0.000000,12.705484,18189.585469,653.518438,5.955766,2.019781,0.508391,0.119042,0.119042,0.508391,2.019781,5.955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,3678.499250,11.306750,8.206859,6.422672,0.000000,7.040922,13459.010719,254.172047,5.682370,2.407437,0.411109,0.068062,0.068062,0.411109,2.407437,5.682370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_4_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,4913.709703,6.403422,55467.856188,3612.176063,2.430406,0.113083,0.113083,2.430406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,4156.951969,7.910703,6.861688,0.000000,40976.488500,1288.636250,4.178797,0.431560,0.042973,0.042973,0.431560,4.178797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,3509.037109,11.500969,12.259578,0.000000,37960.281062,1337.351156,3.580172,0.370339,0.057137,0.057137,0.370339,3.580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
