,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,272356.125000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,272356.125000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,273824.325000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,273824.325000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,277156.998000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,277156.998000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,278595.501000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,278595.501000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,290489.538000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.673000,1.597000,0.673000,0.000000,0.000000,0.000000,0.000000,290489.538000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.948000,2.595000,0.915000,0.000000,0.000000,0.000000,0.000000,293275.864000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.948000,2.595000,0.915000,0.000000,0.000000,0.000000,0.000000,293275.864000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,1.684000,1.730000,1.518000,0.000000,0.000000,0.000000,0.000000,306636.233000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,1.684000,1.730000,1.518000,0.000000,0.000000,0.000000,0.000000,306636.233000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.607000,1.331000,0.673000,0.000000,0.000000,0.000000,0.000000,312376.441000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
