,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,network delay phase 1,network delay phase 2,,,,,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,90.438367,3805.055953,3438.642180,0.000000,8.898750,2.371875,1.973107,13.823633,189.624841,0.002122,0.014836,0.189419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,59.617367,213.772969,1767.313688,880.287672,0.000000,0.120195,3.640234,0.791570,1.555324,7.717150,30.728522,89.743604,0.002245,0.007576,0.028572,0.083273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,31.967266,89.122633,1570.792883,825.037914,0.000000,0.109711,2.750781,0.639984,1.130576,6.278714,29.363661,91.045836,0.001292,0.005914,0.033750,0.079112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_2_mlp5,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,156.636805,14990.626805,13.351562,5.142406,1.269422,80.113557,0.004141,0.076547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,51.689273,536.430398,4912.283828,0.000000,8.496320,2.473234,1.466287,13.947405,134.550261,0.001899,0.014079,0.131292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,80.040453,3164.524773,2588.252477,0.000000,5.080367,3.318633,1.810799,13.567981,119.411141,0.002378,0.012166,0.112576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,90.438367,3805.055953,3438.642180,0.000000,8.898750,2.371875,1.973107,13.823633,189.624841,0.002122,0.014836,0.189419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,59.617367,213.772969,1767.313688,880.287672,0.000000,0.120195,3.640234,0.791570,1.555324,7.717150,30.728522,89.743604,0.002245,0.007576,0.028572,0.083273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,31.967266,89.122633,1570.792883,825.037914,0.000000,0.109711,2.750781,0.639984,1.130576,6.278714,29.363661,91.045836,0.001292,0.005914,0.033750,0.079112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
